Movie,Year,RunTime,imdb,Genre,votes
Black Hawk Down,2001,144 minutes,7.7,"Action, Drama, History",387619
Star Wars: Episode III - Revenge of the Sith,2005,140 minutes,7.6,"Action, Adventure, Fantasy",760066
Twelve Monkeys,1995,129 minutes,8.0,"Mystery, Sci-Fi, Thriller",606861
Love Actually,2003,135 minutes,7.6,"Comedy, Drama, Romance",473367
Pan's Labyrinth,2006,118 minutes,8.2,"Drama, Fantasy, War",653926
The Wizard of Oz,1939,102 minutes,8.1,"Adventure, Family, Fantasy",388072
Inside Man,2006,129 minutes,7.6,"Crime, Drama, Mystery",364741
Rush,2013,123 minutes,8.1,"Action, Biography, Drama",466422
Taken,2008,90 minutes,7.8,"Action, Crime, Thriller",591788
Amadeus,1984,160 minutes,8.4,"Biography, Drama, Music",392093
Sound of Metal,2019,120 minutes,7.7,"Drama, Music",117827
A Few Good Men,1992,138 minutes,7.7,"Drama, Thriller",255137
The Deer Hunter,1978,183 minutes,8.1,"Drama, War",332484
Idi i smotri,1985,142 minutes,8.4,"Drama, Thriller, War",74008
The Bridge on the River Kwai,1957,161 minutes,8.2,"Adventure, Drama, War",216319
Singin' in the Rain,1952,103 minutes,8.3,"Comedy, Musical, Romance",235867
Cabaret,1972,124 minutes,7.8,"Drama, Music, Musical",53752
The Last Samurai,2003,154 minutes,7.8,"Action, Drama",427622
Mystic River,2003,138 minutes,7.9,"Crime, Drama, Mystery",447564
The Game,1997,129 minutes,7.8,"Drama, Mystery, Thriller",381910
Apocalypto,2006,139 minutes,7.8,"Action, Adventure, Drama",306657
The Sound of Music,1965,172 minutes,8.1,"Biography, Drama, Family",224747
Mary Poppins,1964,139 minutes,7.8,"Comedy, Family, Fantasy",168606
E.T. the Extra-Terrestrial,1982,115 minutes,7.9,"Adventure, Family, Sci-Fi",397237
The Artist,2011,100 minutes,7.9,"Comedy, Drama, Romance",239231
Despicable Me,2010,95 minutes,7.6,"Animation, Adventure, Comedy",531105
The Curious Case of Benjamin Button,2008,166 minutes,7.8,"Drama, Fantasy, Romance",632508
Room,2015,118 minutes,8.1,"Drama, Thriller",406796
The Thing,1982,109 minutes,8.2,"Horror, Mystery, Sci-Fi",407464
The Hobbit: The Desolation of Smaug,2013,161 minutes,7.8,"Adventure, Fantasy",640464
Up,2009,96 minutes,8.3,"Animation, Adventure, Comedy",1009148
Home Alone,1990,103 minutes,7.7,"Comedy, Family",550719
Edge of Tomorrow,2014,113 minutes,7.9,"Action, Adventure, Sci-Fi",652976
Ocean's Eleven,2001,116 minutes,7.7,"Crime, Thriller",555760
Rocky,1976,120 minutes,8.1,"Drama, Sport",557366
X-Men: Days of Future Past,2014,132 minutes,8.0,"Action, Adventure, Sci-Fi",695337
Kimi no na wa.,2016,106 minutes,8.4,"Animation, Drama, Fantasy",246801
Shaun of the Dead,2004,99 minutes,7.9,"Comedy, Horror",544291
Incendies,2010,131 minutes,8.3,"Drama, Mystery, War",170918
All That Jazz,1979,123 minutes,7.8,"Drama, Music, Musical",31151
Dark Waters,2019,126 minutes,7.6,"Biography, Drama, History",83159
"Monsters, Inc.",2001,92 minutes,8.1,"Animation, Adventure, Comedy",878883
My Cousin Vinny,1992,120 minutes,7.6,"Comedy, Crime",120896
Midnight Cowboy,1969,113 minutes,7.8,Drama,109192
Predator,1987,107 minutes,7.8,"Action, Adventure, Horror",398317
Airplane!,1980,88 minutes,7.7,Comedy,232192
Platoon,1986,120 minutes,8.1,"Drama, War",405082
The Butterfly Effect,2004,113 minutes,7.6,"Drama, Sci-Fi, Thriller",478743
Children of Men,2006,109 minutes,7.9,"Action, Drama, Sci-Fi",490605
K.G.F: Chapter 1,2018,156 minutes,8.5,"Action, Crime, Drama",60666
Le fabuleux destin d'Amélie Poulain,2001,122 minutes,8.3,"Comedy, Romance",740883
